original_varname,acc_varname,groupid
Lythraceae,Lythrum,HERB
Lythrum,Lythrum,HERB
Lythrum salicaria/L. hyssopifolia,Lythrum,HERB
Lythrum hyssopifolia,Lythrum hyssopifolia-type,HERB
Peplis,Lythrum portula-type,HERB
Lythrum salicaria,Lythrum salicaria-type,HERB
Lythrum salicaria-type,Lythrum salicaria-type,HERB
Macaranga,Macaranga,TRSH
Macleaya,Macleaya,TRSH
Macrobiotus,Macrobiotus,INVE
Macrobiotus areolatus/M. richtersi-type,Macrobiotus,INVE
Macrobiotus hufelandi,Macrobiotus hufelandi,NOPO
Macrocharcoal,Macrocharcoal,CHAR
Maesa,Maesa,TRSH
MAGNOLIA,Magnolia-type,TRSH
Magnolia,Magnolia-type,TRSH
Magnoliaceae,Magnolia-type,TRSH
Magnoliaceae undiff.,Magnolia-type,TRSH
Manglietia,Magnolia-type,TRSH
Maianthemum,Maianthemum bifolium,HERB
Maianthemum-type,Maianthemum/Paris,HERB
Paris-type,Maianthemum/Paris,HERB
Malabaila,Malabaila,HERB
Malania,Malania,TRSH
Mallotus,Mallotus,TRSH
Malva sylvestris t.,Malva sylvestris-type,HERB
Malva sylvestris-type,Malva sylvestris-type,HERB
MALVACEAE,Malvaceae,HERB
Malva,Malvaceae,HERB
Malva-type,Malvaceae,HERB
Malvaceae,Malvaceae,HERB
Sterculiaceae,Malvaceae,HERB
Tiliaceae,Malvaceae,HERB
Aegiceras-corniculatum+Avicennia-marina,Mangrove,TRSH
Aegiceras-corniculatum+Avicennia-marina+Excoecaria-agallocha,Mangrove,TRSH
Bruguiera-gymnorrhiza+Kandelia-candel,Mangrove,TRSH
Bruguiera-gymnorrhiza+Kandelia-candel+Rhizophora-apiculata,Mangrove,TRSH
Lumnitzera-racemosa+Bruguiera-gymnorrhiza+Rhizophora-apiculata,Mangrove,TRSH
Mappianthus,Mappianthus,LIAN
Marchantiophyta,Marchantiophyta,UPBR
Markasit,Markasit,NOPO
Exot added,Marker (added),NOPO
Marker (added),Marker (added),NOPO
Marker,Marker (counted),NOPO
Marker (counted),Marker (counted),NOPO
"Marker, found",Marker (counted),NOPO
Marrubium,Marrubium,HERB
Marsil-eae,Marsileaceae,VACR
Achillea,Matricaria-type,HERB
Achillea T,Matricaria-type,HERB
Achillea type,Matricaria-type,HERB
Achillea-type,Matricaria-type,HERB
Achillia,Matricaria-type,HERB
Anthemidae,Matricaria-type,HERB
Anthemideae,Matricaria-type,HERB
Anthemis,Matricaria-type,HERB
Anthemis  type,Matricaria-type,HERB
Anthemis t.,Matricaria-type,HERB
Anthemis typ,Matricaria-type,HERB
Anthemis type,Matricaria-type,HERB
Anthemis-type,Matricaria-type,HERB
Anthemis/Achillea-type,Matricaria-type,HERB
Asteraceae anthemis type,Matricaria-type,HERB
Asteraceae matricaria-type,Matricaria-type,HERB
"Asteraceae, Matricaria",Matricaria-type,HERB
Chrysanthemum,Matricaria-type,HERB
Chrysanthemum alpinum,Matricaria-type,HERB
Matricaria,Matricaria-type,HERB
Matricaria t.,Matricaria-type,HERB
Matricaria type,Matricaria-type,HERB
Matricaria-type,Matricaria-type,HERB
Matteuccea strutiopt.,Matteuccia struthiopteris,VACR
Matteuccia,Matteuccia struthiopteris,VACR
Matteuccia struthiopteris,Matteuccia struthiopteris,VACR
Matthiola,Matthiola,HERB
Matthiola sp,Matthiola,HERB
Mazus,Mazus,HERB
Medicago,Medicago,HERB
Medicago littoralis-type,Medicago littoralis-type,HERB
Leguminosae cf. Medicago,Medicago sativa-type,HERB
Medicago,Medicago sativa-type,HERB
Medicago sativa,Medicago sativa-type,HERB
Medicago typ,Medicago sativa-type,HERB
Medicago-type,Medicago sativa-type,HERB
Meesia,Meesia,VACR
Melampyrum,Melampyrum,HERB
Melastomataceae,Melastomataceae,TRSH
Melia,Melia,TRSH
Meliaceae,Meliaceae,TRSH
Melliola,Meliola,FUNG
Meliola niessleana,Meliola niessleana,FUNG
Meliosma,Meliosma,TRSH
Menispermaceae,Menispermaceae,LIAN
Lycopus,Mentha-type,HERB
Lycopus-type,Mentha-type,HERB
Lycopus/Mentha,Mentha-type,HERB
Menta type,Mentha-type,HERB
Mentha,Mentha-type,HERB
Mentha  type,Mentha-type,HERB
Mentha T,Mentha-type,HERB
Mentha t.,Mentha-type,HERB
Mentha type,Mentha-type,HERB
Mentha-type,Mentha-type,HERB
Thymus,Mentha-type,HERB
Thymus drucei,Mentha-type,HERB
Thymus serpyllum,Mentha-type,DWAR
Thymus-type,Mentha-type,HERB
Thymus/Mentha,Mentha-type,HERB
Thymus/Mentha-type,Mentha-type,DWAR
Menyanthaceae,Menyanthaceae,HELO
Men._tr-ta,Menyanthes trifoliata,AQUA
Menianthes trifoliata,Menyanthes trifoliata,AQUA
Menyanthes,Menyanthes trifoliata,AQUA
Menyanthes trifoliata,Menyanthes trifoliata,AQUA
Menyanthes trifoliata-type,Menyanthes trifoliata,AQUA
MERCURIALIS type,Mercurialis,HERB
Mercurialis,Mercurialis,HERB
Mercurialis  type,Mercurialis,HERB
Mercurialis annua,Mercurialis annua,HERB
Mercurialis annua-type,Mercurialis annua,HERB
Mercurialis perennis,Mercurialis perennis-type,HERB
Mercurialis perennis T,Mercurialis perennis-type,HERB
Mercurialis perennis-type,Mercurialis perennis-type,HERB
Merendera filifolia-type,Merendera filifolia-type,HERB
Merremia,Merremia,HERB
Meum,Meum athamanticum,HERB
Meum athamanticum,Meum athamanticum,HERB
Michelia,Michelia,TRSH
Micodalyella armigera Type 1A,Micodalyellia armigera,FUNG
Micodalyellia armigera,Micodalyellia armigera,FUNG
Micrhystridium ariakense,Micrhystridium ariakense,DINO
Microcharcoal,Microcharcoal,CHAR
Microcos,Microcos,TRSH
Microdesmis,Microdesmis,TRSH
Microfossils,Microfossils,INUN
Microspheres (counted),Microspheres (counted),NOPO
Microspheres suspension (added),Microspheres suspension (added),NOPO
Microthyriaceae fruitbody,Microthyriaceae fruitbody,FUNG
Microthyrium,Microthyrium,FUNG
Microthyrium undiff.,Microthyrium undiff.,FUNG
Microtropis,Microtropis,TRSH
Mimosa,Mimosa,HERB
Mineral particles > 20 -_m,Mineral particles >20µm,NOPO
Minuartia rubra-type,Minuartia rubra-type/Bufonia,HERB
Minuartia,Moehringia-type,HERB
Minuartia verna-type,Moehringia-type,HERB
Minuartia-type,Moehringia-type,HERB
Moehringia-type,Moehringia-type,HERB
Moltkia,Moltkia,HERB
Monodictys E,Monodictys,FUNG
Aspid.-Asple.,Monolete fern spores,VACR
FILICALES,Monolete fern spores,VACR
FILICALES monol.,Monolete fern spores,VACR
Filicales,Monolete fern spores,VACR
Filicales monoles undiff.,Monolete fern spores,VACR
Filicales monoletae,Monolete fern spores,VACR
Filicales monoletae sporangia,Monolete fern spores,VACR
Filicales monolete,Monolete fern spores,VACR
Filicales monoletes,Monolete fern spores,VACR
Filicales monoletes undiff.,Monolete fern spores,VACR
Filicales undiff.,Monolete fern spores,VACR
Filicinae,Monolete fern spores,VACR
Filicinae undiff.,Monolete fern spores,VACR
Filicopsida,Monolete fern spores,VACR
Filicopsida monolete undiff.,Monolete fern spores,VACR
Filicopsida undiff.,Monolete fern spores,VACR
Leptosporangiatae,Monolete fern spores,VACR
M. non psilate,Monolete fern spores,VACR
MONOLATE-TYPE-SPORE,Monolete fern spores,VACR
Monocolpate verrucate,Monolete fern spores,VACR
Monol. non psil.,Monolete fern spores,VACR
Monolete,Monolete fern spores,VACR
Monolete fern spores,Monolete fern spores,VACR
Monolete fern spores (psilate),Monolete fern spores,VACR
Monolete fern spores undiff.,Monolete fern spores,VACR
Monolete non-psilate,Monolete fern spores,VACR
Monolete not psilate,Monolete fern spores,VACR
Monolete psil.,Monolete fern spores,VACR
Monolete psilate,Monolete fern spores,VACR
Monolete spore with perine,Monolete fern spores,VACR
Monolete spore without perine,Monolete fern spores,VACR
Monolete spore without perine cl.,Monolete fern spores,VACR
Monolete spore(s),Monolete fern spores,VACR
Monolete spore(s) undiff.,Monolete fern spores,VACR
Monolete spores,Monolete fern spores,VACR
Monolete spores (psilate),Monolete fern spores,VACR
Monoletes  lisses,Monolete fern spores,VACR
Monoletes non psilate,Monolete fern spores,VACR
Monoletes psilate,Monolete fern spores,VACR
Polyp-eae,Monolete fern spores,VACR
Polypodiaceae,Monolete fern spores,VACR
Polypodiaceae (spore monolete undiff.),Monolete fern spores,VACR
Polypodiaceae monolete,Monolete fern spores,VACR
Polypodiaceae pro parte,Monolete fern spores,VACR
Polypodiaceae undiff,Monolete fern spores,VACR
Polypodiaceae undiff.,Monolete fern spores,VACR
Polypodiaceae without perine,Monolete fern spores,VACR
Polypodiaceae-type,Monolete fern spores,VACR
Polypodiaceae/Aspidiaceae undiff.,Monolete fern spores,VACR
Polypodiales,Monolete fern spores,VACR
Polypodiophyta,Monolete fern spores,VACR
Polypodiophyta undiff.,Monolete fern spores,VACR
Polypodium vulgare,Monolete fern spores,VACR
Pteridophyta,Monolete fern spores,VACR
"Pteridophyta (monolete, verrucate)",Monolete fern spores,VACR
Pteridophyta monolete undiff.,Monolete fern spores,VACR
Pteridophyta spore,Monolete fern spores,VACR
Pteridophyta spores,Monolete fern spores,VACR
Pteridophyta undiff.,Monolete fern spores,VACR
Pteropsida,Monolete fern spores,VACR
Pteropsida,Monolete fern spores,INUN
Pteropsida (monolete) indet.,Monolete fern spores,VACR
Pteropsida (monolete) undif.,Monolete fern spores,VACR
Pteropsida monolete undiff.,Monolete fern spores,VACR
Pteropsida undiff.,Monolete fern spores,VACR
Spore monolete,Monolete fern spores,VACR
Spores monoletes,Monolete fern spores,VACR
Spores monolètes,Monolete fern spores,VACR
Spori monoleti,Monolete fern spores,VACR
spore-monolete,Monolete fern spores,VACR
Monolete spore sculptured,Monolete spore sculptured,VACR
Monotropa,Monotropa hypopitys,DWAR
Montia,Montia,HERB
Montia fontana,Montia,HERB
MORACEAE,Moraceae,TRSH
Moraceae,Moraceae,TRSH
Morina,Morina,UPHE
Morinda,Morinda,TRSH
MORUS,Morus,TRSH
Morus,Morus,TRSH
Morus alba t.,Morus,TRSH
Morus alba,Morus alba,TRSH
Morus nigra,Morus nigra,TRSH
Moss leaf,Moss: remains,MACR
Moss: leaf,Moss: remains,MACR
Mougeotia,Mougeotia,CHLO
Mougeotia,Mougeotia,ALGA
Mougeotia laetevirens,Mougeotia laetevirens,ALGA
Mounted volume (0.001 ml),Mounted volume (0.001 ml),NOPO
Multi-septate fungal remain,Multi-septate fungal remain,FUNG
Multiseptate conidia undet.,Multiseptate conidia undet.,FUNG
Muscari,Muscari,HERB
Muscari-type,Muscari,HERB
Muscari/Veratrum,Muscari/Veratrum,HERB
Mussaenda,Mussaenda,TRSH
Myosotis,Myosotis-type,HERB
Myosotis arvensis-type,Myosotis-type,HERB
Myosotis-type,Myosotis-type,HERB
Myosoton aquaticum,Myosoton aquaticum,AQUA
Myrica,Myrica,TRSH
Myrica gale,Myrica,TRSH
Myrica gale-type,Myrica,HERB
Myrica gale-type,Myrica,TRSH
Myrica tomentosa,Myrica,TRSH
Myrica type,Myrica,TRSH
Myrica-type,Myrica,TRSH
Myricaceae,Myrica,TRSH
Myrica-rubra,Myrica rubra,TRSH
Myricaria,Myricaria,TRSH
Myricaria,Myricaria germanica,HERB
Myricaria,Myricaria germanica,TRSH
Haloragaceae,Myriophyllum,AQUA
Haloragidaceae,Myriophyllum,AQUA
Myr-lum,Myriophyllum,AQUA
Myriophyllum,Myriophyllum,AQUA
Myriophyllum undiff.,Myriophyllum,AQUA
Myriophyllum alterniflorum,Myriophyllum alterniflorum,AQUA
Myriophyllum alterniflorum type,Myriophyllum alterniflorum,AQUA
Myriophyllum alterniflorum-type,Myriophyllum alterniflorum,AQUA
MYRIOPHYLLUM SPICATUM,Myriophyllum spicatum,AQUA
Myriophyllum spicatum,Myriophyllum spicatum,AQUA
Myriophyllum spicatum type,Myriophyllum spicatum,AQUA
Myriophyllum spicatum-type,Myriophyllum spicatum,AQUA
Myriophylum spicatum,Myriophyllum spicatum,AQUA
M. verticillatum,Myriophyllum spicatum/M. verticillatum,AQUA
Myriophyllum spicatum/M. verticillatum,Myriophyllum spicatum/M. verticillatum,AQUA
Myriophyllum vertic.,Myriophyllum verticillatum,AQUA
Myriophyllum verticilatum,Myriophyllum verticillatum,AQUA
Myriophyllum verticillatum,Myriophyllum verticillatum,AQUA
Myristicaceae,Myristicaceae,TRSH
Myrsine,Myrsine,HERB
MYRTUS,Myrtaceae,TRSH
Myrtaceae,Myrtaceae,TRSH
Myrtus,Myrtaceae,TRSH
Myrtus,Myrtus communis,TRSH
Myrtus communis,Myrtus communis,TRSH
NPP undiff.,NPP undiff.,UNPP
Nandina,Nandina,TRSH
Nanophyton,Nanophyton,HERB
Narthecium,Narthecium,HERB
Narthecium ossifragum,Narthecium,HERB
Narthecium-type,Narthecium,HERB
Nebela collaris,Nebela collaris,RHIZ
Nelumbo,Nelumbo,AQVP
Nematodes,Nematoda (roundworms),NEMA
Neonauclea,Neonauclea,TRSH
Neobardocoela oocytes,Neorhabdocoela,PLAT
Neorhabdocoela,Neorhabdocoela,PLAT
Neorhabdocoela Oocytes Teile,Neorhabdocoela Oocytes Teile,PLAT
Oociti di Neorabdocoehla,Neorhabdocoela oocytes,PLAT
Nephelium,Nephelium,TRSH
Nerium,Nerium oleander,TRSH
Nerium oleander,Nerium oleander,TRSH
EMA-104: Neurospora,Neurospora,FUNG
Neurospora,Neurospora,FUNG
Nicotiana tabacum,Nicotiana tabacum,HERB
Nigella,Nigella,HERB
Nitraria,Nitraria,TRSH
Non-septate filamentous algae undet.,Non-septate filamentous algae undet.,ALGA
Nonea,Nonea,HERB
Nb lignes,Number of counted lines,NOPO
Number of counted lines,Number of counted lines,NOPO
Number of exotics per tablet,Number of exotics per tablet,NOPO
exotic per tablet,Number of exotics per tablet,NOPO
Number of spike added,Number of spike added,NOPO
Nuphar,Nuphar,AQUA
Nuphar_l-m,Nuphar,AQUA
Nymphar,Nuphar,AQUA
Nyctaginaceae,Nyctaginaceae,UPHE
Nymhpea,Nymphaea,AQUA
Nymphaea,Nymphaea,AQUA
Nymphaea alba,Nymphaea,AQUA
Nymphaea alba-type,Nymphaea,AQUA
Nymphaea cf. alba,Nymphaea,AQUA
Nymphaeae,Nymphaea,AQUA
Nymphaea candida,Nymphaea candida,AQUA
Nymphaceae,Nymphaeaceae,AQUA
Nymphaeaceae,Nymphaeaceae,AQUA
Nyphar,Nymphaeaceae,AQUA
idioblasty Nymphaea,Nymphaeaceae idioblast,VEMI
Nymphaceae basall cell,Nymphaeaceae: base cells,VEMI
Nymphaea basal cells,Nymphaeaceae: base cells,VEMI
Nymphaeaceae: base cells,Nymphaeaceae: base cells,VEMI
Nymphaeaceae: hair,Nymphaeaceae: hairs,NOPO
Nymphaeaceae: leaf hair base,Nymphaeaceae: leaf hairs base,NOPO
Nymphaceae sclereid,Nymphaeaceae: macroremains,VEMI
Nymphaeaceae: star cell,Nymphaeaceae: star cell,NOPO
Nymphaeaceae: trichoblasts,Nymphaeaceae: trichoblasts,VEMI
Nyssa,Nyssa,PREQ
Odontites,Odontites-type,HERB
Odontites t.,Odontites-type,HERB
Odontites-type,Odontites-type,HERB
Oedogonium,Oedogonium,ALGA
Oenanthe,Oenanthe,HERB
Oenanthe,Oenanthe,AQUA
Oenanthe fistulosa type,Oenanthe,HERB
Oenanthe-type,Oenanthe,HERB
Oenothera,Oenothera,HERB
Olacaceae,Olacaceae,TRSH
Olea,Olea,TRSH
OLEA,Olea europaea,TRSH
Olea,Olea europaea,TRSH
Olea eur,Olea europaea,TRSH
Olea europaea,Olea europaea,TRSH
Olea europea,Olea europaea,TRSH
Olea-type,Olea europaea,TRSH
Fontanesia,Oleaceae,TRSH
Fontanesia/Phillyrea,Oleaceae,TRSH
Fraxinus+Syringa,Oleaceae,TRSH
OLEACEAE indiff.,Oleaceae,TRSH
Olea/Ligustrum,Oleaceae,TRSH
Olea/Phillyrea,Oleaceae,TRSH
Oleaceae,Oleaceae,TRSH
Oleaceae pro parte,Oleaceae,TRSH
Oleaceae undiff.,Oleaceae,TRSH
Oleaceae..temperate.,Oleaceae,TRSH
Oleaceae..tropical.subtropical.,Oleaceae,TRSH
Oleaceae..unclear.,Oleaceae,TRSH
Omphalodes-type,Omphalodes-type,HERB
Epilobium-Ludwigia,Onagraceae,HERB
Oenotheraceae,Onagraceae,HERB
Onagraceae,Onagraceae,HERB
Onagraceae undiff.,Onagraceae,HERB
Onobrychis,Onobrychis,HERB
cf Onobrychis,Onobrychis,HERB
Fabaceae onobrychis type,Onobrychis-type,HERB
Hedysarum-type,Onobrychis-type,HERB
Hedysarum/Ebenus,Onobrychis-type,HERB
Onobrychis-type,Onobrychis-type,HERB
Ononis,Ononis,HERB
Ononis t.,Ononis,HERB
Ononis-type,Ononis,HERB
Operculodinium,Operculodinium,DINO
Operculodinium centrocarpum,Operculodinium centrocarpum,DINO
Ophelia-type,Ophelia-type,HERB
Ophioglossaceae,Ophioglossaceae,VACR
Ophyoglossaceae,Ophioglossaceae,VACR
Ophioglossum,Ophioglossum,VACR
Ophyoglossum,Ophioglossum,VACR
Ophioglossum vulgatum,Ophioglossum vulgatum,VACR
Ophioglossum vulgatum type B,Ophioglossum vulgatum,VACR
Ophiorrhiza,Ophiorrhiza,HERB
Orchidaceae,Orchidaceae,HERB
Origanum,Origanum,HERB
Origanum vulgare,Origanum vulgare,HERB
Origanum type,Origanum-type,HERB
Orlaya,Orlaya,HERB
Orlaya grandiflora,Orlaya,HERB
Ormosia,Ormosia,TRSH
Ornithogalum-type,Ornithogalum-type,HERB
Scilla type,Ornithogalum-type,HERB
Scilla-type,Ornithogalum-type,HERB
Ornithopus,Ornithopus,HERB
Orostachys,Orostachys,HERB
Oryza-sativa,Oryza-type,HERB
Osmanthus,Osmanthus,TRSH
Osmunda,Osmunda regalis,VACR
Osmunda regalis,Osmunda regalis,VACR
Osmunda regalis-type,Osmunda regalis,VACR
Osmun-eae,Osmunda-type,VACR
Osmunda tp.,Osmunda-type,VACR
Osmunda-type,Osmunda-type,VACR
Osmundaceae,Osmunda-type,VACR
Ostracoda: mandible,Ostracoda: mandible,NOPO
C. Orientalis/Ostrya,Ostrya/Carpinus orientalis,TRSH
C. orientalis,Ostrya/Carpinus orientalis,TRSH
Carpinus orientalis,Ostrya/Carpinus orientalis,TRSH
Carpinus orientalis /Ostrya type,Ostrya/Carpinus orientalis,TRSH
Carpinus orientalis-type,Ostrya/Carpinus orientalis,TRSH
Carpinus orientalis/Ostrya,Ostrya/Carpinus orientalis,TRSH
Carpinus orientalis/Ostrya carpinifolia,Ostrya/Carpinus orientalis,TRSH
Carpinus orientalis/Ostrya carpinifolia-type,Ostrya/Carpinus orientalis,TRSH
Carpinus-Ostrya,Ostrya/Carpinus orientalis,TRSH
Carpinus/Ostrya-type,Ostrya/Carpinus orientalis,TRSH
OSTRYA,Ostrya/Carpinus orientalis,TRSH
OSTRYA/CARPINUS ORIENTALIS,Ostrya/Carpinus orientalis,TRSH
Ostrya,Ostrya/Carpinus orientalis,TRSH
Ostrya carpinifolia,Ostrya/Carpinus orientalis,TRSH
Ostrya carpinifolia/Carpinus orientalis,Ostrya/Carpinus orientalis,TRSH
Ostrya-type,Ostrya/Carpinus orientalis,TRSH
Ostrya/Carpinus,Ostrya/Carpinus orientalis,TRSH
Ostrya/Carpinus orientalis,Ostrya/Carpinus orientalis,TRSH
Ostrya/Carpinus orientalis type,Ostrya/Carpinus orientalis,TRSH
Ostrya/Carpinus orientalis-type,Ostrya/Carpinus orientalis,TRSH
Ostryopsis,Ostryopsis,TRSH
Osyris alba,Osyris alba,TRSH
Osyris alba t.,Osyris alba,TRSH
Osyris alba-type,Osyris alba,HERB
Oxalidaceae,Oxalis,HERB
Oxalis,Oxalis,HERB
Oxalis pes-caprae,Oxalis,HERB
Oxalis type,Oxalis,HERB
Oxalis acetosella,Oxalis acetosella,HERB
Oxalis stricta,Oxalis stricta,HERB
Oxyria,Oxyria digyna,HERB
Oxyria digyna,Oxyria digyna,HERB
Oxytropis,Oxytropis,HERB
Oxytropis-aciphylla,Oxytropis aciphylla,HERB
Pachygone,Pachygone,LIAN
Padus avium,Padus avium,TRSH
Paeonia,Paeonia,HERB
Pandanaceae,Pandanaceae,TRSH
Pandanus-tectorius,Pandanus tectorius,TRSH
Papaver,Papaver,HERB
Papaver argemone,Papaver argemone,HERB
Papaver rhoeas,Papaver rhoeas-type,HERB
Papaver rhoeas t.,Papaver rhoeas-type,HERB
Papaver rhoeas-group,Papaver rhoeas-type,HERB
Papaver rhoeas-type,Papaver rhoeas-type,HERB
PAPAVERACEAE,Papaveraceae,HERB
Papav-eae,Papaveraceae,HERB
Papaver/Meconopsis,Papaveraceae,HERB
Papaveraceae,Papaveraceae,HERB
Papaveraceae cf. Corydalis,Papaveraceae,HERB
Papaveraceae undiff.,Papaveraceae,HERB
PARIETARIA,Parietaria,HERB
Parietaria,Parietaria,HERB
PARNASSIA PALUSTRIS,Parnassia palustris,HERB
Parnassia,Parnassia palustris,HERB
Parnassia palustris,Parnassia palustris,HERB
Parnassia type,Parnassia palustris,HERB
Parnassia-type,Parnassia palustris,HERB
Paronychia,Paronychia,HERB
Paronychia t.,Paronychia,HERB
Paronychia-type,Paronychia,HERB
Parrotia cf. P. persica,Parrotia cf. persica,TRSH
Parrotia persica,Parrotia persica,TRSH
Parrotia persica clumps of two,Parrotia persica,TRSH
Parthenocissus,Parthenocissus,TRSH
Parthenocissus,Parthenocissus,LIAN
Pastinaca,Pastinaca sativa,HERB
Patrinia,Patrinia,HERB
Paulownia,Paulownia,TRSH
Pediastrum,Pediastrum,ALGA
Pediastrum marvilense,Pediastrum,ALGA
Pediastrum spec.,Pediastrum,ALGA
Ped. angulosum,Pediastrum angulosum,ALGA
Pediastrum angulosum,Pediastrum angulosum,ALGA
Pediastrum angulosum var. angulosum,Pediastrum angulosum var. angulosum,ALGA
Pediastrum angulosum var. laevigatum,Pediastrum angulosum var. laevigatum,ALGA
Pediastrum bor.,Pediastrum boryanum,ALGA
Pediastrum boryanum,Pediastrum boryanum,ALGA
Pediastrum boryanum-type,Pediastrum boryanum,ALGA
Pediastrum forcipatum,Pediastrum boryanum,ALGA
Ped. bor.brev.,Pediastrum boryanum subsp. brevicorne,ALGA
Pediastrum boryanum subsp. granulosum,Pediastrum boryanum subsp. granulosum,ALGA
Pediastrum boryanum subsp. longicorne,Pediastrum boryanum subsp. longicorne,ALGA
Pediastrum boryanum var. boryanum,Pediastrum boryanum var. boryanum,HERB
Pediastrum boryanum var. boryanum,Pediastrum boryanum var. boryanum,ALGA
Pediastrum boryanum var. boryanum (type 1),Pediastrum boryanum var. boryanum (type 1),ALGA
Pediastrum boryanum var. boryanum (type 2),Pediastrum boryanum var. boryanum (type 2),ALGA
Pediastrum boryanum var. boryanum sensu lato,Pediastrum boryanum var. boryanum sensu lato,ALGA
Pediastrum boryanum var. brevicorne,Pediastrum boryanum var. brevicorne,ALGA
Pediastrum companulatum,Pediastrum boryanum var. complanatum,ALGA
Pediastrum boryanum v.cornutum,Pediastrum boryanum var. cornutum,ALGA
Pediastrum boryanum var. cornutum,Pediastrum boryanum var. cornutum,ALGA
Pediastrum boryanum var. perforatum,Pediastrum boryanum var. perforatum,ALGA
Pediastrum clathratum,Pediastrum clathratum,ALGA
Pediastrum duplex,Pediastrum duplex,ALGA
Pediastrum duplex var. rugulosum,Pediastrum duplex var. rugulosum,ALGA
Pediastrum integrum,Pediastrum integrum,ALGA
Pediastrum kawraiskyi,Pediastrum kawraiskyi,ALGA
Pediastrum kawraiskyi-integrum,Pediastrum kawraiskyi,ALGA
Pediastrum kawrayskyi,Pediastrum kawraiskyi,ALGA
Pediastrum orientale (type 1),Pediastrum orientale (type 1),ALGA
P. simplex,Pediastrum simplex,ALGA
Pediastrum simplex,Pediastrum simplex,ALGA
Pediastrum sp,Pediastrum sp.,ALGA
Ped. taylori,Pediastrum taylori,ALGA
Pediastrum undiff.,Pediastrum undiff.,ALGA
Pedicularis,Pedicularis,HERB
Pedicularis t.,Pedicularis,HERB
Pedicularis palustris T,Pedicularis palustris-type,HERB
Pedicularis palustris-type,Pedicularis palustris-type,HERB
Pedicularis sylvatica-type,Pedicularis palustris-type,HERB
Pedicularis oederi-type,Pedicularis verticillata-type,HERB
Pedicularis verticillata-type,Pedicularis verticillata-type,HERB
Peganum,Peganum,HERB
Peganum harmala,Peganum,HERB
Penium,Penium,CHLO
Penium,Penium,ALGA
Pennales,Pennales,ALGA
Pentaphylacaceae,Pentaphylacaceae,TRSH
Peridinium ponticum,Peridinium ponticum,DINO
Periploca,Periploca,INUN
Persicaria,Persicaria,HERB
Persicaria amphibia,Persicaria amphibia,AQUA
Polyg._am.,Persicaria amphibia,AQUA
Polygonum amphibium,Persicaria amphibia,AQUA
Polygonum amphibium-type,Persicaria amphibia,AQUA
P. persicaria-t.,Persicaria maculosa-type,HERB
Persicaria maculosa,Persicaria maculosa-type,HERB
Polyg._p-a,Persicaria maculosa-type,HERB
Polygonum Persicaria,Persicaria maculosa-type,HERB
Polygonum lapathifolium-type,Persicaria maculosa-type,HERB
Polygonum persicaria,Persicaria maculosa-type,HERB
Polygonum persicaria T,Persicaria maculosa-type,HERB
Polygonum persicaria group,Persicaria maculosa-type,HERB
Polygonum persicaria t.,Persicaria maculosa-type,HERB
Polygonum persicaria-type,Persicaria maculosa-type,HERB
Polygonum sect. Persicaria,Persicaria maculosa-type,HERB
Petasites,Petasites,HERB
Petasites-type,Petasites,HERB
"Apiaceae, Ferula",Peucedanum-type,HERB
Bunium-type,Peucedanum-type,HERB
Ferula-type,Peucedanum-type,HERB
Peucedanum,Peucedanum-type,HERB
Peucedanum ostruthium,Peucedanum-type,HERB
Peucedanum palustre T,Peucedanum-type,HERB
Peucedanum palustre type,Peucedanum-type,HERB
Peucedanum type,Peucedanum-type,HERB
Peucedanum-type,Peucedanum-type,HERB
Phacelia,Phacelia,HERB
Phacelia tanacetifolia,Phacelia,HERB
Phacelia-typeanacetifolia,Phacelia,HERB
Anthoceros laevis,Phaeoceros laevis-type,BRYO
Phaeoceros laevis,Phaeoceros laevis-type,BRYO
Phaseolus-type,Phaseolus,HERB
Dry-s_ph-s,Phegopteris connectilis,VACR
Phegopteris connectilis,Phegopteris connectilis,VACR
Thelypteris phegopteris,Phegopteris connectilis,VACR
Phellodendron,Phellodendron,TRSH
PHILLYREA,Phillyrea,TRSH
Phillyrea,Phillyrea,TRSH
Phillyrea angustifolia,Phillyrea,TRSH
Phillyrea angustifolia-type,Phillyrea,TRSH
Phillyrea latifolia,Phillyrea,TRSH
Phillyrea media,Phillyrea,TRSH
Phillyrea-type,Phillyrea,TRSH
Phlomis,Phlomis,HERB
Phlox sibirica,Phlox sibirica,HERB
Phoenix,Phoenix,TRSH
Photinia,Photinia,TRSH
Phragmites,Phragmites australis-type,HERB
Phragmites,Phragmites australis-type,AQUA
Phragmites australis,Phragmites australis-type,AQUA
Phragmites australis-type,Phragmites australis-type,AQUA
Phragmites t.,Phragmites australis-type,HERB
Phragmites-type,Phragmites australis-type,AQUA
Phragmites-type,Phragmites australis-type,HERB
Phyllanthus,Phyllanthus,UPHE
Physochlaina,Physochlaina,HERB
Campanula,Phyteuma-type,HERB
Campanula t.,Phyteuma-type,HERB
Campanula typ,Phyteuma-type,HERB
Campanula type,Phyteuma-type,HERB
Campanula-type,Phyteuma-type,HERB
Phyteuma,Phyteuma-type,HERB
Phyteuma T,Phyteuma-type,HERB
Phyteuma-type,Phyteuma-type,HERB
Phytolith,Phytolith,NOPO
PICEA,Picea,TRSH
Picea,Picea,TRSH
Picea (half),Picea abies-type,TRSH
Picea (whole),Picea abies-type,TRSH
