acc_varname,groupid,LegacyName
Daphne,DWAR,Thymelaeaceae
Daphne,HERB,Thymelaeaceae
Datisca cannabina,HERB,Datiscaceae
Datura,HERB,Solanaceae
Digitalis-type,HERB,Plantaginaceae
Dipsacus fullonum-type,HERB,Caprifoliaceae
Doronicum,HERB,Asteraceae undiff.
Drosera,HERB,Delete
Drosera rotundifolia-type,HERB,Delete
Ephedra,HERB,Ephedraceae
Erica,DWAR,Ericales
Erica arborea-type,DWAR,Ericales
Erica cinerea,DWAR,Ericales
Erica cinerea,TRSH,Ericales
Erica ciliaris-type,TRSH,Ericales
Ericales (tetrad),TRSH,Ericales
Fagopyrum tataricum,HERB,Polygonaceae
Indeterminable: unknown,HERB,Delete
Frankenia,HERB,Frankeniaceae
Fumaria,HERB,Papaveraceae
Galega-type,HERB,Fabaceae
Gentiana lutea/G. pneumonanthe,HERB,Gentianaceae
Gentiana nivalis,HERB,Gentianaceae
Gentiana purpurea,HERB,Gentianaceae
Geranium pratense-type,HERB,Geraniaceae
Globularia,HERB,Plantaginaceae
Hypericum,TRSH,Hypericaceae
Halimium,DWAR,Cistaceae
Halimium/Tuberaria,HERB,Cistaceae
Haplophyllum,TRSH,Rutaceae
Hedera,LIAN,Araliaceae
Helianthus-type,HERB,Asteraceae undiff.
Heliotropium,HERB,Heliotropium
Herniaria glabra-type,HERB,Caryophyllaceae
Hibiscus,TRSH,Malvaceae
Homogyne-type,HERB,Asteraceae undiff.
Hydrocotyle,HERB,Delete
Hystrix,HERB,Poaceae
Inula,HERB,Asteraceae undiff.
Juniperus oxycedrus-type,TRSH,Juniperus
Juniperus sabina,TRSH,Juniperus
Koenigia islandica,HERB,Polygonaceae
Labiatae (6),HERB,Lamiaceae
Laburnum anagyroides,TRSH,Laburnum
Laserpitium latifolium-type,HERB,Apiaceae
Laserpitium prutenicum,HERB,Apiaceae
Laurus,TRSH,Laurus
Lavandula,HERB,Lamiaceae
Legousia-type,HERB,Campanulaceae
Leontice,HERB,Berberidaceae
Ligusticum mutellina,HERB,Apiaceae
Linnaea borealis,DWAR,Caprifoliaceae
Linum catharticum-type,HERB,Linaceae
Linum usitatissimum/L. bienne,HERB,Linaceae
Lloydia serotina,HERB,Liliaceae
Lobelia,HERB,Campanulaceae
Lobelia dortmanna,HERB,Campanulaceae
Loeflingia,HERB,Caryophyllaceae
Loiseleuria procumbens,HERB,Ericales
Lonicera,LIAN,Caprifoliaceae
Lonicera periclymenum,TRSH,Caprifoliaceae
Maianthemum bifolium,HERB,Asparagaceae
Maianthemum/Paris,HERB,Asparagaceae
Malabaila,HERB,Apiaceae
Malva sylvestris-type,HERB,Malvaceae
Medicago littoralis-type,HERB,Fabaceae
Moehringia-type,HERB,Caryophyllaceae
Moltkia,HERB,Boraginaceae
Morus nigra,TRSH,Morus
Muscari/Veratrum,HERB,Delete
Myrica,HERB,Myrica
Myricaria germanica,HERB,Tamaricaceae
Convallaria-type,HERB,Asparagaceae
Nicotiana tabacum,HERB,Solanaceae
Nonea,HERB,Boraginaceae
Osyris alba,HERB,Santalaceae
Oxalis stricta,HERB,Oxalidaceae
Papaver argemone,HERB,Papaveraceae
Parrotia cf. persica,TRSH,Parrotia
Parthenocissus,LIAN,Vitaceae
Paulownia,TRSH,Paulownia
Pedicularis verticillata-type,HERB,Orobanchaceae
Persicaria,HERB,Polygonaceae
Phaseolus,HERB,Fabaceae
Picea omorika-type,TRSH,Picea
Pleurospermum-type,HERB,Apiaceae
Polygala comosa-type,HERB,Polygalaceae
Polygonum alpinum,HERB,Polygonaceae
Polygonum cognatum,HERB,Polygonaceae
Polygonum oxyspermum-type,HERB,Polygonaceae
Populus tremula-type,TRSH,Populus
Calligonum-type,HERB,Polygonaceae
Punica granatum,TRSH,Punica
Pyrola-type,HERB,Ericales
Ranunculus sceleratus-type,HERB,Ranunculaceae
Ranunculus asiaticus,HERB,Ranunculaceae
Ranunculus ficaria,HERB,Ranunculaceae
Ranunculus flammula-type,HERB,Ranunculaceae
Ranunculus glacialis-type,HERB,Ranunculaceae
Ranunculus lingua,HERB,Ranunculaceae
Rhododendron,DWAR,Rhododendron
Rosaceae (operculate),TRSH,Rosaceae
Salvia officinalis-type,HERB,Lamiaceae
Salvia officinalis-type,DWAR,Lamiaceae
Rubus arcticus,HERB,Rosaceae
Rubus,HERB,Rosaceae
Rumex alpestris,HERB,Rumex
Rumex alpinus-type,HERB,Rumex
Ruscus,DWAR,Asparagaceae
Sagina procumbens-type,HERB,Caryophyllaceae
Salix,DWAR,Salix
Salvia verticillata,HERB,Lamiaceae
Sanguisorba minor-type,TRSH,Rosaceae
Saussurea alpina,HERB,Asteraceae undiff.
Scabiosa columbaria-type,HERB,Caprifoliaceae
Caprifoliaceae,HERB,Caprifoliaceae
Scandix pecten-veneris/Caucalis platycarpos,HERB,Apiaceae
Scorzonera humilis-type,HERB,Asteraceae undiff.
Flueggea,TRSH,Flueggea
Sempervivum,HERB,Crassulaceae
Seseli-type,HERB,Apiaceae
Solanum nigrum-type,TRSH,Solanaceae
Spartium junceum,TRSH,Fabaceae
Swertia perennis,HERB,Gentianaceae
Thalictrum aquilegiifolium,HERB,Thalictrum
Thymelaea,DWAR,Thymelaeaceae
Thymelaeaceae,DWAR,Thymelaeaceae
Mentha-type,DWAR,Lamiaceae
Trifolium alpinum-type,HERB,Fabaceae
Trifolium badium-type,HERB,Fabaceae
Trifolium montanum,HERB,Fabaceae
Tuberaria,HERB,Cistaceae
Tussilago-type,HERB,Asteraceae undiff.
Umbilicus-type,HERB,Crassulaceae
Utricularia,HERB,Delete
Vaccinium,DWAR,Ericales
Vaccinium-type,DWAR,Ericales
Valeriana montana-type,HERB,Caprifoliaceae
Verbena officinalis,HERB,Verbenaceae
Viburnum/Sambucus,TRSH,Viburnum
Vitis,LIAN,Vitaceae
Zizyphus,TRSH,Ziziphus
Pulsatilla,HERB,Ranunculaceae
Centaurea alpina-type,HERB,Asteraceae undiff.
Merendera filifolia-type,HERB,Colchicaceae
Leucojum-type,HERB,Amaryllidaceae
Cephalanthus,TRSH,Cephalanthus
Arctostaphylos alpinus,DWAR,Arctostaphylos
Myricaria germanica,TRSH,Tamaricaceae
Ornithopus,HERB,Fabaceae
Trachycarpus,TRSH,Trachycarpus
Quercus ithaburensis-type,TRSH,Quercus
Lavandula,TRSH,Lamiaceae
Vitex agnus-castus,TRSH,Vitex
Lithospermum-type,HERB,Boraginaceae
Fumana,TRSH,Cistaceae
